==============================
MAPK@3 SCORE: 0.21946335338047718
The Eiffel Tower MAPK@3: 0.5783828382838284 common guesses: [('The Eiffel Tower', 125), ('pliers', 60), ('star', 27)]
popsicle MAPK@3: 0.5771929824561403 common guesses: [('popsicle', 119), ('ice cream', 88), ('lollipop', 45)]
mug MAPK@3: 0.5604075691411936 common guesses: [('mug', 146), ('coffee cup', 120), ('cup', 92)]
dumbbell MAPK@3: 0.5520393811533051 common guesses: [('dumbbell', 146), ('trumpet', 84), ('bowtie', 36)]
wine bottle MAPK@3: 0.5456140350877192 common guesses: [('wine bottle', 123), ('pear', 66), ('lipstick', 60)]
stairs MAPK@3: 0.542314335060449 common guesses: [('stairs', 114), ('stitches', 56), ('mountain', 40)]
door MAPK@3: 0.5333333333333333 common guesses: [('door', 108), ('cell phone', 39), ('chair', 34)]
rainbow MAPK@3: 0.5289473684210526 common guesses: [('rainbow', 116), ('swing set', 72), ('bridge', 43)]
apple MAPK@3: 0.5284178187403994 common guesses: [('apple', 132), ('pear', 65), ('blueberry', 43)]
keyboard MAPK@3: 0.5206855791962174 common guesses: [('keyboard', 161), ('saw', 60), ('firetruck', 43)]
wine glass MAPK@3: 0.5201005025125628 common guesses: [('wine glass', 119), ('floor lamp', 47), ('golf club', 29)]
t-shirt MAPK@3: 0.5097517730496454 common guesses: [('t-shirt', 110), ('anvil', 60), ('underwear', 42)]
headphones MAPK@3: 0.5037453183520599 common guesses: [('headphones', 103), ('bicycle', 41), ('rainbow', 41)]
asparagus MAPK@3: 0.5 common guesses: [('asparagus', 140), ('sword', 76), ('pencil', 43)]
lollipop MAPK@3: 0.49740932642487046 common guesses: [('lollipop', 118), ('microphone', 45), ('popsicle', 43)]
hot air balloon MAPK@3: 0.487719298245614 common guesses: [('hot air balloon', 119), ('light bulb', 95), ('skull', 37)]
diamond MAPK@3: 0.48223350253807107 common guesses: [('diamond', 107), ('necklace', 31), ('t-shirt', 30)]
pear MAPK@3: 0.4752380952380953 common guesses: [('pear', 104), ('snowman', 68), ('vase', 48)]
bowtie MAPK@3: 0.47435897435897434 common guesses: [('bowtie', 113), ('camera', 33), ('envelope', 32)]
rifle MAPK@3: 0.47425997425997424 common guesses: [('rifle', 140), ('The Great Wall of China', 56), ('belt', 51)]
bucket MAPK@3: 0.4740143369175627 common guesses: [('bucket', 104), ('paint can', 82), ('ear', 34)]
hourglass MAPK@3: 0.4738562091503267 common guesses: [('hourglass', 108), ('door', 33), ('wine glass', 28)]
envelope MAPK@3: 0.47112211221122113 common guesses: [('envelope', 107), ('postcard', 87), ('camera', 41)]
skull MAPK@3: 0.4638447971781305 common guesses: [('skull', 104), ('light bulb', 46), ('goatee', 35)]
light bulb MAPK@3: 0.4613259668508287 common guesses: [('light bulb', 104), ('hot air balloon', 95), ('ear', 38)]
penguin MAPK@3: 0.46106736657917763 common guesses: [('penguin', 204), ('paper clip', 55), ('fire hydrant', 52)]
lipstick MAPK@3: 0.4583333333333333 common guesses: [('lipstick', 109), ('candle', 76), ('wine bottle', 54)]
canoe MAPK@3: 0.45788530465949817 common guesses: [('canoe', 96), ('skateboard', 44), ('crocodile', 37)]
line MAPK@3: 0.45271317829457364 common guesses: [('line', 104), ('ocean', 104), ('grass', 77)]
circle MAPK@3: 0.44474637681159424 common guesses: [('circle', 116), ('octagon', 58), ('clock', 55)]
house MAPK@3: 0.4441707717569786 common guesses: [('house', 104), ('purse', 46), ('barn', 32)]
chair MAPK@3: 0.4431137724550898 common guesses: [('chair', 174), ('ladder', 59), ('skyscraper', 54)]
