==============================
MAPK@3 SCORE: 0.2390765095939903
stairs MAPK@3: 0.7176165803108808 common guesses: [('stairs', 160), ('baseball bat', 70), ('mountain', 61)]
circle MAPK@3: 0.6512681159420289 common guesses: [('circle', 133), ('octagon', 132), ('clock', 83)]
door MAPK@3: 0.6481481481481481 common guesses: [('door', 124), ('bucket', 89), ('vase', 49)]
square MAPK@3: 0.6329787234042553 common guesses: [('square', 127), ('octagon', 91), ('circle', 64)]
hourglass MAPK@3: 0.6290849673202613 common guesses: [('hourglass', 142), ('wine glass', 65), ('vase', 57)]
wine glass MAPK@3: 0.6214405360134003 common guesses: [('wine glass', 138), ('floor lamp', 80), ('hourglass', 48)]
dumbbell MAPK@3: 0.5949367088607594 common guesses: [('dumbbell', 159), ('trumpet', 65), ('rifle', 40)]
bowtie MAPK@3: 0.5940170940170939 common guesses: [('bowtie', 133), ('trumpet', 45), ('camera', 40)]
headphones MAPK@3: 0.5917602996254682 common guesses: [('headphones', 116), ('rainbow', 33), ('swing set', 30)]
apple MAPK@3: 0.5852534562211982 common guesses: [('apple', 142), ('pear', 67), ('suitcase', 54)]
The Eiffel Tower MAPK@3: 0.5783828382838283 common guesses: [('The Eiffel Tower', 132), ('pliers', 34), ('cello', 33)]
bucket MAPK@3: 0.5761648745519713 common guesses: [('bucket', 118), ('paint can', 100), ('door', 66)]
line MAPK@3: 0.575968992248062 common guesses: [('line', 128), ('ocean', 123), ('snake', 75)]
popsicle MAPK@3: 0.5710526315789474 common guesses: [('popsicle', 122), ('ice cream', 78), ('light bulb', 44)]
pillow MAPK@3: 0.5646067415730337 common guesses: [('pillow', 113), ('postcard', 71), ('cloud', 63)]
lipstick MAPK@3: 0.5607638888888888 common guesses: [('lipstick', 133), ('candle', 105), ('crayon', 64)]
asparagus MAPK@3: 0.5575396825396826 common guesses: [('asparagus', 150), ('fork', 120), ('sword', 67)]
wine bottle MAPK@3: 0.5570175438596492 common guesses: [('wine bottle', 128), ('pear', 88), ('lipstick', 68)]
picture frame MAPK@3: 0.5498188405797101 common guesses: [('picture frame', 114), ('dishwasher', 57), ('microwave', 36)]
t-shirt MAPK@3: 0.5496453900709221 common guesses: [('t-shirt', 117), ('anvil', 54), ('sweater', 43)]
triangle MAPK@3: 0.5423423423423424 common guesses: [('triangle', 114), ('tent', 74), ('nose', 52)]
clock MAPK@3: 0.5340699815837937 common guesses: [('clock', 114), ('circle', 77), ('compass', 55)]
rainbow MAPK@3: 0.5271929824561403 common guesses: [('rainbow', 106), ('swing set', 58), ('dolphin', 53)]
pear MAPK@3: 0.5257142857142857 common guesses: [('pear', 117), ('wine bottle', 65), ('vase', 62)]
mug MAPK@3: 0.5254730713245996 common guesses: [('mug', 134), ('cup', 73), ('coffee cup', 69)]
keyboard MAPK@3: 0.516548463356974 common guesses: [('keyboard', 161), ('fish', 103), ('cloud', 74)]
rifle MAPK@3: 0.5128700128700128 common guesses: [('rifle', 152), ('ocean', 81), ('bridge', 49)]
hot air balloon MAPK@3: 0.5105263157894737 common guesses: [('hot air balloon', 125), ('light bulb', 102), ('ear', 30)]
envelope MAPK@3: 0.5099009900990099 common guesses: [('envelope', 127), ('postcard', 107), ('camera', 49)]
mushroom MAPK@3: 0.5054773082942097 common guesses: [('mushroom', 125), ('light bulb', 49), ('hot air balloon', 45)]
canoe MAPK@3: 0.5017921146953405 common guesses: [('canoe', 106), ('crocodile', 56), ('eyeglasses', 34)]
sock MAPK@3: 0.5010787486515641 common guesses: [('sock', 177), ('foot', 70), ('nose', 54)]
light bulb MAPK@3: 0.5009208103130756 common guesses: [('light bulb', 118), ('hot air balloon', 106), ('ear', 46)]
wheel MAPK@3: 0.49186991869918695 common guesses: [('wheel', 127), ('basketball', 87), ('soccer ball', 83)]
candle MAPK@3: 0.49056603773584906 common guesses: [('candle', 131), ('lipstick', 111), ('crayon', 74)]
broom MAPK@3: 0.48666666666666664 common guesses: [('broom', 94), ('rake', 47), ('sword', 36)]
camera MAPK@3: 0.48272884283246975 common guesses: [('camera', 108), ('postcard', 70), ('envelope', 49)]
fork MAPK@3: 0.4779541446208113 common guesses: [('fork', 121), ('asparagus', 62), ('nail', 48)]
rollerskates MAPK@3: 0.475 common guesses: [('rollerskates', 96), ('ambulance', 31), ('foot', 24)]
calculator MAPK@3: 0.4740932642487047 common guesses: [('calculator', 106), ('paint can', 67), ('bucket', 44)]
streetlight MAPK@3: 0.4666666666666666 common guesses: [('streetlight', 105), ('skyscraper', 49), ('finger', 39)]
tennis racquet MAPK@3: 0.4658981748318924 common guesses: [('tennis racquet', 204), ('flower', 118), ('tornado', 109)]
microwave MAPK@3: 0.4574829931972789 common guesses: [('microwave', 107), ('postcard', 78), ('map', 36)]
lollipop MAPK@3: 0.45509499136442144 common guesses: [('lollipop', 108), ('fork', 46), ('flower', 40)]
diamond MAPK@3: 0.4534686971235195 common guesses: [('diamond', 107), ('necklace', 61), ('t-shirt', 38)]
pineapple MAPK@3: 0.45301418439716307 common guesses: [('pineapple', 105), ('owl', 40), ('strawberry', 35)]
ocean MAPK@3: 0.4526226734348561 common guesses: [('ocean', 119), ('line', 89), ('snake', 42)]
see saw MAPK@3: 0.4503367003367003 common guesses: [('see saw', 107), ('rifle', 35), ('snake', 32)]
van MAPK@3: 0.4491298527443106 common guesses: [('van', 130), ('truck', 86), ('pillow', 46)]
tornado MAPK@3: 0.44883720930232557 common guesses: [('tornado', 113), ('tennis racquet', 73), ('hurricane', 62)]
skull MAPK@3: 0.44620811287477957 common guesses: [('skull', 102), ('goatee', 37), ('light bulb', 32)]
washing machine MAPK@3: 0.4429097605893185 common guesses: [('washing machine', 96), ('dishwasher', 75), ('The Mona Lisa', 38)]
penguin MAPK@3: 0.442257217847769 common guesses: [('penguin', 199), ('teddy-bear', 56), ('paper clip', 53)]
pants MAPK@3: 0.44135802469135804 common guesses: [('pants', 114), ('power outlet', 48), ('tooth', 43)]
cello MAPK@3: 0.44 common guesses: [('cello', 114), ('asparagus', 51), ('house plant', 44)]
umbrella MAPK@3: 0.43996415770609326 common guesses: [('umbrella', 99), ('mushroom', 49), ('parachute', 45)]
floor lamp MAPK@3: 0.4386666666666667 common guesses: [('floor lamp', 128), ('wine glass', 62), ('fork', 55)]
star MAPK@3: 0.43478260869565216 common guesses: [('star', 104), ('sea turtle', 37), ('sun', 34)]
underwear MAPK@3: 0.43404634581105167 common guesses: [('underwear', 98), ('anvil', 48), ('t-shirt', 38)]
cloud MAPK@3: 0.4305555555555556 common guesses: [('cloud', 93), ('pillow', 63), ('keyboard', 40)]
chair MAPK@3: 0.4301397205588823 common guesses: [('chair', 165), ('skyscraper', 46), ('elbow', 41)]
strawberry MAPK@3: 0.4248188405797101 common guesses: [('strawberry', 96), ('owl', 41), ('hand', 30)]
hockey stick MAPK@3: 0.42393162393162387 common guesses: [('hockey stick', 99), ('golf club', 75), ('leg', 52)]
bicycle MAPK@3: 0.4236842105263158 common guesses: [('bicycle', 97), ('motorbike', 76), ('submarine', 23)]
ice cream MAPK@3: 0.4234234234234234 common guesses: [('ice cream', 102), ('popsicle', 53), ('hot air balloon', 37)]
sailboat MAPK@3: 0.4195121951219512 common guesses: [('sailboat', 104), ('chandelier', 48), ('sock', 38)]
mountain MAPK@3: 0.4170984455958549 common guesses: [('mountain', 96), ('triangle', 41), ('tent', 33)]
golf club MAPK@3: 0.41324200913242004 common guesses: [('golf club', 152), ('leg', 112), ('hockey stick', 101)]
vase MAPK@3: 0.4105263157894737 common guesses: [('vase', 109), ('door', 63), ('pear', 53)]
ladder MAPK@3: 0.4095744680851064 common guesses: [('ladder', 91), ('finger', 42), ('paper clip', 35)]
cell phone MAPK@3: 0.40934065934065933 common guesses: [('cell phone', 97), ('door', 43), ('calculator', 41)]
house plant MAPK@3: 0.4076086956521739 common guesses: [('house plant', 93), ('pineapple', 54), ('snowman', 33)]
house MAPK@3: 0.4022988505747126 common guesses: [('house', 101), ('purse', 52), ('paint can', 36)]
hammer MAPK@3: 0.40130353817504655 common guesses: [('hammer', 89), ('mailbox', 42), ('microphone', 27)]
sweater MAPK@3: 0.3981481481481481 common guesses: [('sweater', 85), ('jacket', 40), ('t-shirt', 39)]
blackberry MAPK@3: 0.3975694444444445 common guesses: [('blackberry', 94), ('hurricane', 76), ('campfire', 38)]
shorts MAPK@3: 0.39661319073083773 common guesses: [('shorts', 89), ('postcard', 57), ('camera', 49)]
couch MAPK@3: 0.3907407407407408 common guesses: [('couch', 83), ('postcard', 24), ('sandwich', 23)]
teddy-bear MAPK@3: 0.38847583643122674 common guesses: [('teddy-bear', 134), ('penguin', 72), ('owl', 63)]
octagon MAPK@3: 0.38772663877266383 common guesses: [('octagon', 163), ('circle', 150), ('hexagon', 87)]
The Mona Lisa MAPK@3: 0.38553113553113555 common guesses: [('The Mona Lisa', 90), ('washing machine', 72), ('calculator', 45)]
hexagon MAPK@3: 0.3839563862928349 common guesses: [('octagon', 125), ('hexagon', 113), ('circle', 110)]
postcard MAPK@3: 0.38007054673721347 common guesses: [('postcard', 99), ('envelope', 69), ('pillow', 64)]
soccer ball MAPK@3: 0.3776595744680851 common guesses: [('soccer ball', 95), ('basketball', 88), ('wheel', 48)]
sword MAPK@3: 0.3736559139784946 common guesses: [('sword', 99), ('asparagus', 61), ('broom', 49)]
hat MAPK@3: 0.3727544910179641 common guesses: [('hat', 148), ('tent', 75), ('police car', 68)]
teapot MAPK@3: 0.369298245614035 common guesses: [('teapot', 83), ('sweater', 26), ('coffee cup', 22)]
nail MAPK@3: 0.3669467787114846 common guesses: [('nail', 122), ('fork', 68), ('asparagus', 41)]
donut MAPK@3: 0.3657187993680885 common guesses: [('donut', 95), ('cookie', 71), ('baseball', 57)]
sun MAPK@3: 0.3656716417910448 common guesses: [('sun', 82), ('star', 26), ('spider', 19)]
shark MAPK@3: 0.36507936507936506 common guesses: [('shark', 85), ('submarine', 30), ('speedboat', 30)]
drill MAPK@3: 0.36504065040650413 common guesses: [('drill', 93), ('table', 34), ('bench', 26)]
snowman MAPK@3: 0.3630718954248366 common guesses: [('snowman', 241), ('pear', 109), ('vase', 97)]
campfire MAPK@3: 0.36083333333333334 common guesses: [('campfire', 89), ('blackberry', 44), ('kangaroo', 26)]
giraffe MAPK@3: 0.35776614310645727 common guesses: [('giraffe', 91), ('kangaroo', 36), ('hockey stick', 35)]
bracelet MAPK@3: 0.35661080074487894 common guesses: [('bracelet', 82), ('picture frame', 52), ('circle', 25)]
tooth MAPK@3: 0.3537234042553192 common guesses: [('tooth', 86), ('pants', 55), ('square', 38)]
palm tree MAPK@3: 0.3533697632058288 common guesses: [('palm tree', 83), ('broccoli', 38), ('hammer', 37)]
bus MAPK@3: 0.34672021419009375 common guesses: [('bus', 131), ('school bus', 127), ('keyboard', 50)]
television MAPK@3: 0.34234234234234234 common guesses: [('television', 76), ('birthday cake', 43), ('toaster', 37)]
saw MAPK@3: 0.3415750915750916 common guesses: [('saw', 75), ('crocodile', 64), ('skateboard', 53)]
snowflake MAPK@3: 0.34095238095238095 common guesses: [('snowflake', 70), ('ceiling fan', 42), ('guitar', 25)]
suitcase MAPK@3: 0.337719298245614 common guesses: [('suitcase', 80), ('pillow', 53), ('postcard', 43)]
beard MAPK@3: 0.3360215053763441 common guesses: [('beard', 106), ('goatee', 47), ('blackberry', 39)]
crocodile MAPK@3: 0.3359375 common guesses: [('crocodile', 95), ('grass', 49), ('canoe', 45)]
tree MAPK@3: 0.33410138248847926 common guesses: [('tree', 94), ('mushroom', 46), ('hot air balloon', 41)]
table MAPK@3: 0.3324652777777778 common guesses: [('table', 78), ('bench', 32), ('pillow', 25)]
nose MAPK@3: 0.33220720720720726 common guesses: [('nose', 144), ('triangle', 79), ('leg', 73)]
