Computing Distances
Distances Computed
==============================
('MAPK@3 SCORE:', 0.34546075386072739)
('stairs', 'MAPK@3:', 0.78238341968911918, 'common guesses:', [('stairs', 160), ('stitches', 81), ('line', 47)])
('The Eiffel Tower', 'MAPK@3:', 0.72607260726072598, 'common guesses:', [('The Eiffel Tower', 162), ('pliers', 53), ('mountain', 37)])
('bowtie', 'MAPK@3:', 0.72393162393162402, 'common guesses:', [('bowtie', 151), ('dumbbell', 54), ('castle', 32)])
('apple', 'MAPK@3:', 0.71121351766513063, 'common guesses:', [('apple', 174), ('blueberry', 69), ('onion', 59)])
('hourglass', 'MAPK@3:', 0.70588235294117652, 'common guesses:', [('hourglass', 159), ('wine glass', 63), ('vase', 35)])
('line', 'MAPK@3:', 0.70465116279069773, 'common guesses:', [('line', 164), ('ocean', 115), ('grass', 101)])
('rainbow', 'MAPK@3:', 0.69473684210526321, 'common guesses:', [('rainbow', 148), ('swing set', 65), ('boomerang', 49)])
('headphones', 'MAPK@3:', 0.68913857677902612, 'common guesses:', [('headphones', 135), ('rainbow', 60), ('bicycle', 37)])
('square', 'MAPK@3:', 0.68173758865248224, 'common guesses:', [('square', 139), ('pillow', 69), ('dishwasher', 61)])
('pear', 'MAPK@3:', 0.67333333333333334, 'common guesses:', [('pear', 130), ('vase', 74), ('wine bottle', 57)])
('t-shirt', 'MAPK@3:', 0.67198581560283688, 'common guesses:', [('t-shirt', 144), ('sweater', 75), ('anvil', 47)])
('wine glass', 'MAPK@3:', 0.66666666666666663, 'common guesses:', [('wine glass', 151), ('floor lamp', 82), ('hot air balloon', 49)])
('triangle', 'MAPK@3:', 0.66576576576576574, 'common guesses:', [('triangle', 147), ('tent', 83), ('nose', 65)])
('door', 'MAPK@3:', 0.65462962962962967, 'common guesses:', [('door', 131), ('remote control', 45), ('skyscraper', 38)])
('popsicle', 'MAPK@3:', 0.64210526315789473, 'common guesses:', [('popsicle', 135), ('ice cream', 59), ('ear', 45)])
('mushroom', 'MAPK@3:', 0.63223787167449153, 'common guesses:', [('mushroom', 156), ('parachute', 80), ('tree', 50)])
('sock', 'MAPK@3:', 0.62729234088457386, 'common guesses:', [('sock', 208), ('foot', 137), ('banana', 29)])
('mug', 'MAPK@3:', 0.61935953420669587, 'common guesses:', [('mug', 160), ('coffee cup', 133), ('cup', 125)])
('hot air balloon', 'MAPK@3:', 0.61491228070175441, 'common guesses:', [('hot air balloon', 147), ('light bulb', 103), ('mushroom', 36)])
('picture frame', 'MAPK@3:', 0.61141304347826086, 'common guesses:', [('picture frame', 134), ('oven', 52), ('microwave', 50)])
('circle', 'MAPK@3:', 0.60960144927536231, 'common guesses:', [('circle', 142), ('octagon', 123), ('clock', 88)])
('diamond', 'MAPK@3:', 0.60744500846023686, 'common guesses:', [('diamond', 142), ('parachute', 45), ('light bulb', 34)])
('ladder', 'MAPK@3:', 0.60106382978723405, 'common guesses:', [('ladder', 126), ('chair', 53), ('skyscraper', 44)])
('pillow', 'MAPK@3:', 0.5955056179775281, 'common guesses:', [('pillow', 132), ('postcard', 60), ('keyboard', 50)])
('envelope', 'MAPK@3:', 0.59405940594059403, 'common guesses:', [('envelope', 143), ('postcard', 136), ('camera', 59)])
('sun', 'MAPK@3:', 0.5903814262023217, 'common guesses:', [('sun', 136), ('spider', 54), ('star', 45)])
('wine bottle', 'MAPK@3:', 0.58947368421052626, 'common guesses:', [('wine bottle', 137), ('candle', 79), ('pear', 72)])
('dumbbell', 'MAPK@3:', 0.58720112517580869, 'common guesses:', [('dumbbell', 161), ('key', 68), ('trumpet', 55)])
('sailboat', 'MAPK@3:', 0.58536585365853655, 'common guesses:', [('sailboat', 135), ('submarine', 40), ('hat', 34)])
('ice cream', 'MAPK@3:', 0.5846846846846846, 'common guesses:', [('ice cream', 132), ('popsicle', 37), ('hot air balloon', 35)])
('umbrella', 'MAPK@3:', 0.58333333333333337, 'common guesses:', [('umbrella', 129), ('mushroom', 66), ('parachute', 58)])
('lipstick', 'MAPK@3:', 0.58159722222222221, 'common guesses:', [('lipstick', 134), ('candle', 105), ('lighter', 53)])
('pants', 'MAPK@3:', 0.57947530864197527, 'common guesses:', [('pants', 154), ('power outlet', 43), ('shorts', 38)])
('skull', 'MAPK@3:', 0.57936507936507942, 'common guesses:', [('skull', 128), ('face', 42), ('goatee', 33)])
('bucket', 'MAPK@3:', 0.57526881720430112, 'common guesses:', [('bucket', 130), ('paint can', 96), ('door', 29)])
('wheel', 'MAPK@3:', 0.5699186991869919, 'common guesses:', [('wheel', 149), ('basketball', 95), ('soccer ball', 79)])
('snowflake', 'MAPK@3:', 0.56761904761904758, 'common guesses:', [('snowflake', 107), ('mosquito', 53), ('ceiling fan', 37)])
('star', 'MAPK@3:', 0.56682769726247995, 'common guesses:', [('star', 126), ('spider', 39), ('sun', 29)])
('bicycle', 'MAPK@3:', 0.56315789473684208, 'common guesses:', [('bicycle', 129), ('motorbike', 118), ('tractor', 17)])
('clock', 'MAPK@3:', 0.56077348066298338, 'common guesses:', [('clock', 131), ('compass', 75), ('circle', 67)])
('see saw', 'MAPK@3:', 0.56060606060606055, 'common guesses:', [('see saw', 130), ('snake', 45), ('rifle', 25)])
('chair', 'MAPK@3:', 0.55538922155688619, 'common guesses:', [('chair', 220), ('skyscraper', 69), ('toilet', 65)])
('rollerskates', 'MAPK@3:', 0.54814814814814816, 'common guesses:', [('rollerskates', 115), ('truck', 39), ('shoe', 29)])
('pineapple', 'MAPK@3:', 0.54698581560283688, 'common guesses:', [('pineapple', 121), ('owl', 36), ('lighter', 33)])
('teapot', 'MAPK@3:', 0.54561403508771922, 'common guesses:', [('teapot', 121), ('sweater', 25), ('coffee cup', 22)])
('octagon', 'MAPK@3:', 0.54323570432357038, 'common guesses:', [('octagon', 174), ('circle', 164), ('hexagon', 93)])
('anvil', 'MAPK@3:', 0.53968253968253965, 'common guesses:', [('anvil', 127), ('underwear', 78), ('t-shirt', 31)])
('mountain', 'MAPK@3:', 0.53799654576856648, 'common guesses:', [('mountain', 120), ('tent', 49), ('triangle', 41)])
('canoe', 'MAPK@3:', 0.53584229390680993, 'common guesses:', [('canoe', 110), ('bathtub', 25), ('crocodile', 22)])
('house plant', 'MAPK@3:', 0.53260869565217395, 'common guesses:', [('house plant', 118), ('pineapple', 40), ('shovel', 28)])
('hockey stick', 'MAPK@3:', 0.53162393162393162, 'common guesses:', [('hockey stick', 138), ('golf club', 85), ('leg', 48)])
('bandage', 'MAPK@3:', 0.52777777777777779, 'common guesses:', [('bandage', 128), ('saw', 46), ('eraser', 31)])
('hat', 'MAPK@3:', 0.52744510978043913, 'common guesses:', [('hat', 205), ('tent', 67), ('beach', 44)])
('camera', 'MAPK@3:', 0.52590673575129532, 'common guesses:', [('camera', 122), ('postcard', 46), ('shorts', 32)])
('underwear', 'MAPK@3:', 0.52495543672014255, 'common guesses:', [('underwear', 121), ('anvil', 78), ('t-shirt', 34)])
('sweater', 'MAPK@3:', 0.52407407407407403, 'common guesses:', [('sweater', 112), ('jacket', 81), ('t-shirt', 53)])
('strawberry', 'MAPK@3:', 0.51811594202898548, 'common guesses:', [('strawberry', 111), ('hand', 46), ('owl', 32)])
('keyboard', 'MAPK@3:', 0.51654846335697391, 'common guesses:', [('keyboard', 164), ('pool', 66), ('saw', 47)])
('flamingo', 'MAPK@3:', 0.51515151515151514, 'common guesses:', [('flamingo', 114), ('saxophone', 30), ('lightning', 27)])
('broom', 'MAPK@3:', 0.51333333333333331, 'common guesses:', [('broom', 103), ('rake', 75), ('golf club', 30)])
('giraffe', 'MAPK@3:', 0.51308900523560208, 'common guesses:', [('giraffe', 118), ('saxophone', 64), ('kangaroo', 35)])
('golf club', 'MAPK@3:', 0.50742009132420085, 'common guesses:', [('golf club', 173), ('hockey stick', 145), ('leg', 110)])
('tennis racquet', 'MAPK@3:', 0.50384245917387127, 'common guesses:', [('tennis racquet', 220), ('flower', 123), ('microphone', 89)])
('tooth', 'MAPK@3:', 0.5035460992907802, 'common guesses:', [('tooth', 118), ('pants', 49), ('door', 33)])
('lollipop', 'MAPK@3:', 0.50259067357512954, 'common guesses:', [('lollipop', 123), ('flower', 49), ('spoon', 41)])
('table', 'MAPK@3:', 0.50173611111111105, 'common guesses:', [('table', 125), ('bench', 57), ('swing set', 48)])
('microwave', 'MAPK@3:', 0.49914965986394561, 'common guesses:', [('microwave', 125), ('postcard', 51), ('map', 40)])
('hammer', 'MAPK@3:', 0.4972067039106145, 'common guesses:', [('hammer', 108), ('mailbox', 45), ('palm tree', 35)])
('rifle', 'MAPK@3:', 0.49678249678249675, 'common guesses:', [('rifle', 149), ('bench', 76), ('ocean', 43)])
('zebra', 'MAPK@3:', 0.49231950844854078, 'common guesses:', [('zebra', 130), ('tiger', 84), ('cow', 56)])
('cell phone', 'MAPK@3:', 0.49175824175824173, 'common guesses:', [('cell phone', 110), ('calculator', 31), ('door', 31)])
('nose', 'MAPK@3:', 0.48704954954954954, 'common guesses:', [('nose', 189), ('pear', 86), ('triangle', 74)])
('fish', 'MAPK@3:', 0.48673300165837474, 'common guesses:', [('fish', 112), ('frying pan', 34), ('whale', 28)])
('shoe', 'MAPK@3:', 0.48425925925925928, 'common guesses:', [('shoe', 105), ('submarine', 35), ('crown', 33)])
('van', 'MAPK@3:', 0.48326639892904949, 'common guesses:', [('van', 148), ('truck', 110), ('ambulance', 59)])
('eyeglasses', 'MAPK@3:', 0.48033431661750242, 'common guesses:', [('eyeglasses', 201), ('banana', 39), ('key', 35)])
('cello', 'MAPK@3:', 0.47999999999999998, 'common guesses:', [('cello', 124), ('guitar', 69), ('violin', 59)])
('drill', 'MAPK@3:', 0.4788617886178862, 'common guesses:', [('drill', 115), ('table', 42), ('boomerang', 30)])
('asparagus', 'MAPK@3:', 0.47619047619047616, 'common guesses:', [('asparagus', 145), ('paintbrush', 64), ('pencil', 60)])
('skateboard', 'MAPK@3:', 0.47582037996545767, 'common guesses:', [('skateboard', 110), ('saw', 49), ('crocodile', 32)])
('flower', 'MAPK@3:', 0.47311827956989244, 'common guesses:', [('flower', 129), ('lollipop', 51), ('stop sign', 39)])
('candle', 'MAPK@3:', 0.47248427672955973, 'common guesses:', [('candle', 142), ('lipstick', 96), ('wine bottle', 53)])
('vase', 'MAPK@3:', 0.47192982456140353, 'common guesses:', [('vase', 115), ('pear', 69), ('wine bottle', 25)])
('hamburger', 'MAPK@3:', 0.46923076923076923, 'common guesses:', [('hamburger', 114), ('couch', 40), ('sandwich', 35)])
('fork', 'MAPK@3:', 0.46913580246913583, 'common guesses:', [('fork', 111), ('nail', 37), ('matches', 32)])
('snowman', 'MAPK@3:', 0.4673202614379085, 'common guesses:', [('snowman', 286), ('pear', 146), ('vase', 123)])
('shorts', 'MAPK@3:', 0.46613190730837795, 'common guesses:', [('shorts', 108), ('postcard', 37), ('pillow', 36)])
('palm tree', 'MAPK@3:', 0.46539162112932608, 'common guesses:', [('palm tree', 107), ('hammer', 37), ('flower', 32)])
('penguin', 'MAPK@3:', 0.46500437445319331, 'common guesses:', [('penguin', 216), ('owl', 56), ('teddy-bear', 43)])
('police car', 'MAPK@3:', 0.46410256410256412, 'common guesses:', [('police car', 118), ('car', 72), ('ambulance', 40)])
('house', 'MAPK@3:', 0.46387520525451553, 'common guesses:', [('house', 117), ('purse', 48), ('church', 42)])
('light bulb', 'MAPK@3:', 0.46224677716390417, 'common guesses:', [('light bulb', 111), ('hot air balloon', 106), ('ear', 45)])
('teddy-bear', 'MAPK@3:', 0.46220570012391571, 'common guesses:', [('teddy-bear', 152), ('penguin', 67), ('panda', 40)])
('airplane', 'MAPK@3:', 0.46125730994152042, 'common guesses:', [('airplane', 118), ('shark', 31), ('bat', 23)])
('tornado', 'MAPK@3:', 0.46124031007751931, 'common guesses:', [('tornado', 122), ('hurricane', 87), ('broccoli', 30)])
('stop sign', 'MAPK@3:', 0.46018518518518525, 'common guesses:', [('stop sign', 107), ('lollipop', 59), ('flower', 48)])
('washing machine', 'MAPK@3:', 0.4567219152854512, 'common guesses:', [('washing machine', 107), ('The Mona Lisa', 50), ('power outlet', 49)])
